,,u_-2_0,u_-1_0,u_0_0,u_1_0,u_2_0,u_-2_1,u_-1_1,u_0_1,u_1_1,u_2_1,u_-2_2,u_-1_2,u_0_2,u_1_2,u_2_2,u_-2_3,u_-1_3,u_0_3,u_1_3,u_2_3
alpha_000,a,3.851200E+03,-1.122722E+03,1.454948E+02,-3.513050E+00,5.588496E-02,-6.308333E+04,2.123355E+04,-2.379287E+03,1.221979E+02,-2.224038E+00,2.767543E+05,-9.911208E+04,1.235071E+04,-6.949219E+02,1.386954E+01,-4.123287E+05,1.561335E+05,-2.077001E+04,1.249547E+03,-2.639194E+01
alpha_000,mu,-2.447368E+00,4.542144E-01,9.583600E-01,1.889633E-03,-3.198187E-05,2.386150E+01,-8.423962E+00,9.944930E-01,-5.162416E-02,9.456027E-04,-9.346260E+01,3.426129E+01,-4.336222E+00,2.438069E-01,-4.810714E-03,1.171841E+02,-4.404236E+01,5.749715E+00,-3.531865E-01,7.435631E-03
alpha_000,sigma,-2.809340E-01,1.406148E-01,1.862349E-02,-1.067739E-03,2.083069E-05,-2.632573E+00,1.032831E+00,-1.586325E-01,1.067940E-02,-2.284029E-04,2.100271E+01,-7.962742E+00,1.086620E+00,-6.189444E-02,1.352259E-03,-4.071784E+01,1.581394E+01,-2.220286E+00,1.285189E-01,-2.727280E-03
alpha_000,lambda,-3.404738E+02,3.983591E+01,1.497758E+01,-6.156837E-01,1.348911E-02,-1.203489E+03,3.853275E+02,-3.355571E+01,1.402946E+00,-3.188079E-02,2.146751E+04,-7.476519E+03,8.545394E+02,-3.612323E+01,5.803127E-01,-4.258084E+04,1.556356E+04,-1.910117E+03,9.344791E+01,-1.518307E+00
alpha_002,a,2.002069E+03,-1.673491E+03,3.808372E+02,-2.512233E+01,1.067690E+00,-7.528649E+03,1.430213E+04,-4.393379E+03,4.685915E+02,-1.676836E+01,1.998351E+05,-1.257990E+05,2.746212E+04,-2.472472E+03,7.922170E+01,-5.532508E+05,2.765769E+05,-5.102550E+04,4.067879E+03,-1.196122E+02
alpha_002,mu,7.682530E-01,-8.352912E-01,1.131299E+00,-6.675666E-03,1.113307E-04,-3.965235E-01,7.199546E-01,-2.385408E-01,1.658241E-02,-3.064378E-04,-1.126214E+01,3.394071E+00,-1.351021E-01,1.328240E-03,-2.613422E-05,6.032185E+00,-1.457330E+00,-1.526137E-01,-7.083289E-03,3.552363E-04
alpha_002,sigma,1.121250E+00,-3.778769E-01,8.118622E-02,-4.017649E-03,6.869058E-05,-1.637120E+01,6.244688E+00,-8.540681E-01,4.794260E-02,-8.916687E-04,7.399828E+01,-2.868687E+01,3.968187E+00,-2.255610E-01,4.411206E-03,-1.131954E+02,4.450514E+01,-6.263569E+00,3.626915E-01,-7.211919E-03
alpha_002,lambda,2.774298E+03,-1.165060E+03,1.764018E+02,-9.081139E+00,1.508874E-01,-1.051842E+04,3.676076E+03,-4.609058E+02,2.910789E+01,-4.903118E-01,2.057597E+04,-4.807448E+03,2.293658E+02,-2.136749E+00,-1.029798E-01,-1.662721E+04,2.009380E+03,4.355582E+02,-4.622542E+01,1.113690E+00
alpha_002,b,-2.267247E+00,7.610350E-01,9.642512E-01,5.106013E-03,-7.954663E-05,2.319538E+01,-8.190687E+00,9.120816E-01,-5.205558E-02,8.519649E-04,-8.120190E+01,2.671914E+01,-3.146450E+00,1.708720E-01,-3.016898E-03,8.219397E+01,-2.691319E+01,3.088508E+00,-1.850647E-01,3.605334E-03
alpha_010,a,1.253793E+04,-4.106136E+03,4.093580E+02,-7.510233E+01,1.080831E+00,-6.389331E+05,2.172696E+05,-2.288403E+04,8.477199E+02,-7.028494E+00,2.437617E+06,-8.022655E+05,8.265419E+04,-3.102388E+03,1.588027E+01,-2.315585E+06,7.384734E+05,-7.197390E+04,2.339439E+03,1.562449E+01
alpha_010,mu,-1.036529E+00,-1.579220E-01,1.038495E+00,-2.019251E-03,3.410796E-05,1.357772E+01,-4.490099E+00,4.320316E-01,-1.802365E-02,2.690868E-04,-4.948701E+01,1.728874E+01,-1.811476E+00,8.410630E-02,-1.360152E-03,3.675869E+01,-1.206352E+01,1.013733E+00,-5.801686E-02,1.080833E-03
alpha_010,sigma,1.481057E-01,-3.710546E-02,3.975570E-02,-2.110946E-03,3.894284E-05,-7.839144E+00,3.182125E+00,-4.779875E-01,2.935871E-02,-5.926868E-04,4.762686E+01,-1.908761E+01,2.778408E+00,-1.650821E-01,3.407692E-03,-8.552468E+01,3.435211E+01,-4.985548E+00,2.964337E-01,-6.075287E-03
alpha_010,lambda,2.346368E+03,-9.704463E+02,1.326286E+02,-5.178112E+00,7.706759E-02,-6.794482E+03,1.504960E+03,-1.467656E+01,-4.195552E+00,1.692014E-01,-1.182048E+03,5.812138E+03,-1.582068E+03,1.183141E+02,-2.453004E+00,2.176432E+04,-1.430787E+04,2.888569E+03,-1.956837E+02,3.903945E+00
alpha_010,b,-1.482637E+00,1.183606E+00,8.965543E-01,8.901264E-03,-1.678793E-04,3.249232E+01,-1.538158E+01,2.104500E+00,-1.287329E-01,2.593982E-03,-1.585882E+02,6.434812E+01,-9.403717E+00,5.761704E-01,-1.212388E-02,2.250542E+02,-8.935333E+01,1.304080E+01,-8.239182E-01,1.777625E-02
alpha_012,a,3.633985E+05,-1.562638E+05,2.507046E+04,-1.701659E+03,2.754347E+01,-4.355079E+06,1.626350E+06,-2.133075E+05,1.125867E+04,-1.741730E+02,1.758733E+07,-6.411282E+06,8.050620E+05,-3.936624E+04,5.722699E+02,-2.228554E+07,8.150424E+06,-1.024241E+06,4.955152E+04,-6.691055E+02
alpha_012,mu,3.288067E-01,-7.811435E-01,1.129501E+00,-6.010122E-03,9.348530E-05,3.024069E+00,1.651648E+00,-5.220734E-01,3.591167E-02,-7.272967E-04,7.342097E-01,-1.020952E+01,2.524892E+00,-1.779833E-01,3.892070E-03,-1.064263E+01,1.781192E+01,-4.220963E+00,2.888252E-01,-6.373711E-03
alpha_012,sigma,9.645746E-01,-3.792740E-01,8.727165E-02,-4.504243E-03,8.131779E-05,-1.558256E+01,7.502916E+00,-1.171061E+00,7.067965E-02,-1.411018E-03,8.685968E+01,-4.037000E+01,6.246657E+00,-3.791000E-01,7.760195E-03,-1.443583E+02,6.507520E+01,-9.983282E+00,6.093829E-01,-1.253707E-02
